,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
21365,39.76,-98.5,fjw2DxnC5hGQHxDRy13KCQ,"4,000 US troops to be deployed in Poland in 2017: US commander",2016-12-14 16:19:16,Other,extreme,"(39.759999999999998, -98.5)",25,Wichita,1.0
21370,39.76,-98.5,Rhoh5BfC5hGYVA_Ry13KCQ,Tillerson for US secretary of state,2016-12-14 16:10:54,Physical Threats,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21376,36.20124,37.16117,Npo4DBjC5hGMYw_Ry13KCQ,Russia's U.N. ambassador says all military action in Syria's eastern Aleppo has ended,2016-12-14 16:12:02,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
21392,26.62168,-81.84059,KkIkjRnC5hGlLp0CZNc2RA,Deputies investigate shooting in east Fort Myers,2016-12-14 16:22:48,Physical Threats,moderate,"(26.621679999999998, -81.840590000000006)",4,Tampa,1.0
21419,39.76,-98.5,oLWiORnC5hGdu5cCZNc2RA,The Cycle of Assassination & War Bottomed in 2014,2016-12-14 16:20:27,Physical Threats,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21487,39.76,-98.5,YhsOPRnC5hGRmg7Ry13KCQ,"U.S. to halt some arms sales to Saudi, citing civilian deaths in Yemen campaign | Reuters",2016-12-14 16:20:33,Infrastructure,medium,"(39.759999999999998, -98.5)",9,Wichita,1.0
21512,60.10867,-113.64258,UDNvYhnC5hGEXg3Ry13KCQ,"Most infosec teams overwhelmed by security alerts, says report",2016-12-14 16:21:36,Other,moderate,"(60.108669999999996, -113.64258000000001)",4,Edmonton,1.0
21520,30.06263,31.24967,aIKMvxnC5hGedg3Ry13KCQ,Egypt says church bomber linked to Muslim Brotherhood,2016-12-14 16:24:12,Geopolitical,moderate,"(30.062629999999999, 31.249670000000002)",4,Cairo,1.0
21523,30.06263,31.24967,el9U0RnC5hGvmA3Ry13KCQ,ISIS Claims Deadly Cairo Church Bombing,2016-12-14 16:24:42,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9,Cairo,1.0
21528,39.76,-98.5,iu8jaxrC5hGwfZ4CZNc2RA,Nomura: Ringgit's weakening pattern partly due to US dollar's strength,2016-12-14 16:29:00,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21540,13.08784,80.27847,kLCCaB_C5hGaPJ4CZNc2RA,Bharti Airtel Data subscribers effected by cyclone Vardah,2016-12-14 17:04:43,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
21544,39.76,-98.5,MKwjdxrC5hGX7Q7Ry13KCQ,"Filmmaker behind Bergdahl's 'Serial' interviews settles suit with Army, avoids subpoena",2016-12-14 16:29:20,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21557,36.20124,37.16117,nPw4QCDC5hG8Rg7Ry13KCQ,Militants in Eastern Aleppo Ask Syrian Army to Leave War-Torn City for Idlib,2016-12-14 17:10:45,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
21558,36.20124,37.16117,bI8aQiDC5hGzVQ7Ry13KCQ,'Battle for Aleppo over' as Russia 'ends operations',2016-12-14 17:10:48,Other,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
21561,39.76,-98.5,dm75ORrC5hGGwQ3Ry13KCQ,US Osprey flights in Japan halted after crash,2016-12-14 16:27:37,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21614,30.06263,31.24967,UB+c6BrC5hG3wJ0CZNc2RA,Islamic State claims Cairo cathedral bombing: group's Amaq news agency,2016-12-14 16:32:30,Physical Threats,moderate,"(30.062629999999999, 31.249670000000002)",4,Cairo,1.0
21655,2.5,113.5,Jo55RyHC5hG+Fw3Ry13KCQ,Seramai 70 pemain berentap pada aksi Catur Terbuka Sarawak,2016-12-14 17:18:07,Crime,moderate,"(2.5, 113.5)",4,Kuching,1.0
21663,45.50884,-73.58781,RtvrmSHC5hGN5A3Ry13KCQ,Turning right on red in Montreal,2016-12-14 17:20:25,Other,moderate,"(45.508839999999999, -73.587810000000005)",4,Montréal,1.0
21666,33.91667,76.66667,Jqxr+yDC5hGSKZwCZNc2RA,Pellets fired to quell protests blind hundreds of Kashmiris,2016-12-14 17:15:59,Other,moderate,"(33.916670000000003, 76.666669999999996)",4,Srinagar,1.0
21699,37.31494,-79.52422,TNJtFiHC5hG_0Z8CZNc2RA,Cause of Bedford residence fire inconclusive,2016-12-14 17:16:44,Natural Disaster,moderate,"(37.31494, -79.52422)",4,West Raleigh,1.0
21701,45.53121,-73.51806,4vBXXiHC5hG1l58CZNc2RA,Suspected road rage incident leads police to massive weapons arsenal near Montreal,2016-12-14 17:18:45,Physical Threats,moderate,"(45.531209999999994, -73.518059999999991)",4,Montréal,1.0
21727,39.76,-98.5,XCGFtVHC5hGJrdYN+RcZ4Q,Pentagon updates war manual to better protect civilians,2016-12-14 23:04:47,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21729,36.20124,37.16117,TEKSulHC5hG4FNYN+RcZ4Q,The Latest: Syrian activists: Jets resume bombing of Aleppo,2016-12-14 23:04:55,Physical Threats,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
21739,33.83333,75.16667,GNoqniHC5hGwxA_Ry13KCQ,Protest breaks out in Kashmir after militant's death in Anantnag,2016-12-14 17:20:32,Natural Disaster,medium,"(33.833329999999997, 75.166669999999996)",9,Srinagar,1.0
21765,-10.0,-55.0,epiL2yHC5hGknBDRy13KCQ,"Police Crushes Demonstration in Brasilia with Bombs, Horse Soldiers",2016-12-14 17:22:15,Geopolitical,medium,"(-10.0, -55.0)",9,Cuiabá,1.0
21887,33.83333,75.16667,VIMD0CLC5hGLiqACZNc2RA,Protest in Kashmir after militant's death,2016-12-14 17:29:05,Physical Threats,medium,"(33.833329999999997, 75.166669999999996)",9,Srinagar,1.0
21900,39.76,-98.5,hGJA2CjC5hGRfAjRy13KCQ,Two plead guilty in Army Reserve Center weapons theft case,2016-12-14 18:12:16,Physical Threats,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21910,-10.0,-55.0,qDYWUSjC5hGjT5kCZNc2RA,Brazil spending cap sparks angry protests,2016-12-14 18:08:29,Crime,moderate,"(-10.0, -55.0)",4,Cuiabá,1.0
21912,39.76,-98.5,yhuF0CjC5hGWDAvRy13KCQ,Photos: Life for Haitian migrants at the U.S.-Mexico border,2016-12-14 18:12:03,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21931,36.20124,37.16117,1kLiZTDC5hGM3gjRy13KCQ,Cease-fire deal reportedly reached in war-torn Aleppo,2016-12-14 19:06:20,Other,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
21932,39.76,-98.5,fM6RcDDC5hGFVgjRy13KCQ,WORLD TENSIONS: NATO ships HUNT DOWN Russian submarines ready to STRIKE US & French fleet,2016-12-14 19:06:38,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21942,39.76,-98.5,dI8QfzDC5hGeGQvRy13KCQ,Japan calls on United States to ground Osprey flights after Okinawa crash,2016-12-14 19:07:02,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21944,38.89511,-77.03637,GgumgTDC5hGjggvRy13KCQ,Pentagon updates war manual to better protect civilians,2016-12-14 19:07:07,Geopolitical,moderate,"(38.895109999999995, -77.036369999999991)",4,"Washington, D.C.",1.0
21945,39.76,-98.5,UhwLgzDC5hGUKgvRy13KCQ,Russia says Aleppo rebels resumed attacks at dawn,2016-12-14 19:07:09,Geopolitical,extreme,"(39.759999999999998, -98.5)",25,Wichita,1.0
21950,39.76,-98.5,SH9FkDDC5hGThQvRy13KCQ,The U.S. is helping train Iraqi militias historically tied to Iran,2016-12-14 19:07:31,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21951,36.20124,37.16117,fNThlzDC5hGqDwvRy13KCQ,"East Aleppo council head says civilians, rebels to be evacuated early Wednesday",2016-12-14 19:07:44,Other,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
21970,35.2448,-77.5848,Pt79WCjC5hGmIQvRy13KCQ,Details of $201M Hurricane Matthew and wildfire aid package,2016-12-14 18:08:42,Natural Disaster,medium,"(35.244799999999998, -77.584800000000001)",9,Raleigh,1.0
21976,-10.0,-55.0,2A7kYSjC5hG0vgvRy13KCQ,Brazil spending cap sparks angry protests,2016-12-14 18:08:57,Crime,moderate,"(-10.0, -55.0)",4,Cuiabá,1.0
21981,54.75844,-2.69531,UIhT3SjC5hG6bwrRy13KCQ,Rail strike cripples rail services in southern England,2016-12-14 18:12:24,Infrastructure,moderate,"(54.75844, -2.6953099999999997)",4,Preston,1.0
21982,39.76,-98.5,cOz+5CjC5hGhLArRy13KCQ,CIA out on a limb over allegation Russia meddled in US poll,2016-12-14 18:12:37,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
21988,36.20124,37.16117,2IoheyjC5hG+eZMCZNc2RA,Escape from hell: Residents flee Aleppo as UN reports civilian slaughter,2016-12-14 18:09:40,Public Health,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
21994,36.20124,37.16117,2ERLWinC5hG4egjRy13KCQ,Rebels to evacuate Syria's Aleppo by dawn on Wednesday,2016-12-14 18:15:54,Geopolitical,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
21996,30.06263,31.24967,Fq3ZXCnC5hGQqwjRy13KCQ,"ISIS Supporters Celebrate Egypt Church Terror Bombing That Killed 27 Christians, Calling It a ...",2016-12-14 18:15:58,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9,Cairo,1.0
21998,36.20124,37.16117,iqrhDjDC5hG3PQjRy13KCQ,Civilians trapped inside Aleppo post emotional goodbye messages on Aleppo,2016-12-14 19:03:54,Crime,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22002,60.10867,-113.64258,jDYILTDC5hGeNAjRy13KCQ,All of Parks Canada's student workers caught up in Phoenix payroll mess,2016-12-14 19:04:45,Other,moderate,"(60.108669999999996, -113.64258000000001)",4,Edmonton,1.0
22007,49.24966,-123.11934,+OTuAFvC5hGfg9cN+RcZ4Q,'No such thing as an oil spill clean up': is the Trans Mountain Pipeline a ticking time bomb?,2016-12-15 00:11:19,Infrastructure,medium,"(49.249659999999999, -123.11933999999999)",9,Vancouver,1.0
22045,15.91667,120.33333,dPIMxTDC5hGgKgrRy13KCQ,AWOL cop shot dead in Pangasinan drug bust,2016-12-14 19:09:00,Crime,medium,"(15.916670000000002, 120.33333)",9,San Jose del Monte,1.0
22047,60.10867,-113.64258,UADaqTDC5hG0FwvRy13KCQ,Canadians slowly becoming aware of human trafficking epidemic,2016-12-14 19:08:14,Crime,medium,"(60.108669999999996, -113.64258000000001)",9,Edmonton,1.0
22050,36.20124,37.16117,ypD9vDDC5hGsxQvRy13KCQ,"What’s happening in Aleppo is ‘genocide,’ activist claims",2016-12-14 19:08:46,Infrastructure,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22066,36.20124,37.16117,VjvkrjDC5hGcJgrRy13KCQ,Russia tells UN Security Council fighting in eastern Aleppo 'has stopped',2016-12-14 19:08:22,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22071,36.20124,37.16117,po6MwjDC5hGATgrRy13KCQ,Russia-backed deal to evacuate thousands of civilians and rebels trapped in Aleppo hits delays amid calls for UN to monitor the pull out,2016-12-14 19:08:55,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22155,38.50029,-98.50063,qEf1CinC5hGSWgrRy13KCQ,OSHA probing Kansas oil-drilling blast that injured 5,2016-12-14 18:13:41,Infrastructure,moderate,"(38.50029, -98.500630000000001)",4,Wichita,1.0
22157,10.0,8.0,AmmfDSnC5hG60wrRy13KCQ,CRH calls for strengthening of HIV programmes in schools,2016-12-14 18:13:45,Other,moderate,"(10.0, 8.0)",4,Kaduna,1.0
22175,39.76,-98.5,HMn8ISnC5hGm4ArRy13KCQ,Top US spy agency hasn’t embraced CIA hack report,2016-12-14 18:14:20,Other,medium,"(39.759999999999998, -98.5)",9,Wichita,1.0
22176,39.76,-98.5,FF5aKCnC5hGfqArRy13KCQ,US halts some Saudi arms sales over Yemen deaths concerns,2016-12-14 18:14:30,Geopolitical,medium,"(39.759999999999998, -98.5)",9,Wichita,1.0
22184,54.75844,-2.69531,qKieMinC5hGWJArRy13KCQ,Christmas travel warning as rail work heads to Shrewsbury,2016-12-14 18:14:48,Infrastructure,moderate,"(54.75844, -2.6953099999999997)",4,Preston,1.0
22187,39.76,-98.5,bihuNinC5hGoFwrRy13KCQ,"US slows arms shipment, intelligence sharing to Saudi Arabia over Yemen campaign",2016-12-14 18:14:54,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
22190,54.75844,-2.69531,drRTOinC5hGdrwrRy13KCQ,Saudi Arabia receives first F-15SA Eagle fighters,2016-12-14 18:15:00,Other,moderate,"(54.75844, -2.6953099999999997)",4,Preston,1.0
22220,36.20124,37.16117,sHheYynC5hGC+wvRy13KCQ,"After Aleppo cease-fire, rebel and civilian pullout delayed",2016-12-14 18:16:09,Other,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22262,10.0,8.0,FO8PoCnC5hG6hAvRy13KCQ,"UNICEF: 80,000 children will starve to death in Nigeria",2016-12-14 18:17:51,Public Health,high,"(10.0, 8.0)",16,Kaduna,1.0
22265,36.20124,37.16117,jFLqoynC5hG_BwvRy13KCQ,George Osborne DESTROYS Labour party for not supporting Government move to bomb Aleppo,2016-12-14 18:17:58,Physical Threats,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
22266,-29.0,24.0,2jkxpSnC5hGrYAvRy13KCQ,We’ve BEEN speaking against violence on womxn’s bodies – is anyone listening?,2016-12-14 18:18:00,Other,extreme,"(-29.0, 24.0)",25,Bloemfontein,1.0
22276,60.10867,-113.64258,AMX4iTDC5hG7hArRy13KCQ,"Liberals scrap '4-in, 4-out' rule for temporary foreign workers",2016-12-14 19:07:21,Infrastructure,moderate,"(60.108669999999996, -113.64258000000001)",4,Edmonton,1.0
22279,39.76,-98.5,Xmr6jjDC5hGECQrRy13KCQ,The U.S. is helping train Iraqi militias historically tied to Iran,2016-12-14 19:07:29,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
22282,39.76,-98.5,1ARAnTDC5hGb+QrRy13KCQ,United States grounds Osprey aircraft in Japan after Okinawa crash,2016-12-14 19:07:53,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
22348,36.20124,37.16117,nsjdcTDC5hGn9JMCZNc2RA,Syrian rebels prepare to withdraw from Aleppo as truce begins,2016-12-14 19:06:40,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22359,36.20124,37.16117,uiUkBDnC5hGhgQrRy13KCQ,The Latest: Russia says Syrian rebels broke cease-fire deal,2016-12-14 20:08:01,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22361,36.20124,37.16117,wOu5BjnC5hGDxgrRy13KCQ,Rebels to evacuate Aleppo in surrender deal as fighting ends,2016-12-14 20:08:06,Physical Threats,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22364,36.20124,37.16117,bl2MCjnC5hGl+wrRy13KCQ,Scores of civilians killed in Aleppo attacks in 2 days,2016-12-14 20:08:12,Physical Threats,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22367,36.20124,37.16117,pr1tDjnC5hGUPQrRy13KCQ,Syrian army says could declare control of East Aleppo at any moment,2016-12-14 20:08:19,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22372,36.20124,37.16117,zi2RGznC5hGaLwrRy13KCQ,UN said it received reports of least 82 civilians killed,2016-12-14 20:08:41,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22374,39.0,35.0,_hqcmzHC5hG3hwvRy13KCQ,What we know about the Kurdish group that claimed responsibility for the deadly bombing in Istanbul,2016-12-14 19:15:00,Physical Threats,high,"(39.0, 35.0)",16,Kayseri,1.0
22425,39.29038,-76.61219,_GrxIjnC5hGdXAjRy13KCQ,Police: Officer fatally shoots gunman near Baltimore campus,2016-12-14 20:08:53,Physical Threats,moderate,"(39.290379999999999, -76.612189999999998)",4,Baltimore,1.0
22431,36.84681,-76.28522,+s21TTnC5hGsPgjRy13KCQ,First Warning Traffic: Wednesday road closures and bridge openings,2016-12-14 20:10:05,Infrastructure,moderate,"(36.846809999999998, -76.285219999999995)",4,"Washington, D.C.",1.0
22468,47.50027,-100.00068,7HAX5jHC5hG9DArRy13KCQ,Pipeline spills 176000 gallons of oil in North Dakota creek,2016-12-14 19:17:05,Infrastructure,moderate,"(47.50027, -100.00068)",4,Winnipeg,1.0
22605,22.0,79.0,Sn2BGZ3C5hGmkwfRy13KCQ,Collateral damage of demonetisation,2016-12-15 08:04:27,Infrastructure,moderate,"(22.0, 79.0)",4,Nagpur,1.0
22629,40.0,-4.0,WFxaRCDC5hGmLA7Ry13KCQ,Spain Arrests Five Activists For Burning Picture Of King Felipe VI,2016-12-14 17:10:52,Crime,moderate,"(40.0, -4.0)",4,Madrid,1.0
22637,36.20124,37.16117,fG7rXiDC5hGNORDRy13KCQ,US Would Welcome Russian-Turkish Brokered Ceasefire in Syria - State Department,2016-12-14 17:11:36,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22639,36.20124,37.16117,HEdMYiDC5hG4RBDRy13KCQ,"Aleppo: rebels give up, battle ends after years of bloodshed",2016-12-14 17:11:42,Other,low,"(36.201240000000006, 37.161169999999998)",1,Aleppo,1.0
22641,52.28333,-117.469,pM18aSDC5hGixQ_Ry13KCQ,Opposition parties boycott NDP-led child welfare panel,2016-12-14 17:11:54,Geopolitical,moderate,"(52.283329999999999, -117.46899999999999)",4,Calgary,1.0
22642,51.08335,-115.35206,wJSubSDC5hG9I54CZNc2RA,Police incident forces lock down at middle school in Canmore,2016-12-14 17:12:01,Physical Threats,medium,"(51.083350000000003, -115.35206000000001)",9,Calgary,1.0
22643,-37.8,144.9,COrC1DnC5hGBwQrRy13KCQ,Fire crews battle large blaze at Footscray supermarket,2016-12-14 20:13:51,Natural Disaster,moderate,"(-37.799999999999997, 144.90000000000001)",4,Melbourne,1.0
22644,51.08335,-115.35206,Np5scSDC5hGhQxDRy13KCQ,Mounties lock down middle school in Canmore to investigate break and enter,2016-12-14 17:12:07,Physical Threats,medium,"(51.083350000000003, -115.35206000000001)",9,Calgary,1.0
22667,51.08335,-115.35206,Uj6WnyDC5hGGHBDRy13KCQ,School in Canmore under lockdown amid RCMP investigation,2016-12-14 17:13:25,Physical Threats,moderate,"(51.083350000000003, -115.35206000000001)",4,Calgary,1.0
22669,38.06847,-78.88947,ll+3aTnC5hG4tQjRy13KCQ,Three-alarm fire breaks out near Waynesboro,2016-12-14 20:10:52,Natural Disaster,moderate,"(38.068469999999998, -78.889469999999989)",4,"Washington, D.C.",1.0
22670,35.0,38.0,8k_CpSjC5hGCYAvRy13KCQ,U.S. strike kills Islamic State militants linked to Paris attacks,2016-12-14 18:10:51,Physical Threats,extreme,"(35.0, 38.0)",25,Ḩamāh,1.0
22709,36.20124,37.16117,YFMLqJ3C5hGBDxHRy13KCQ,France calls for international monitoring of Aleppo evacuation,2016-12-15 08:08:26,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22710,33.0,66.0,9mCOzCDC5hGVgQ7Ry13KCQ,"Afghan First Vice President denies abusing rival, West urges investigation",2016-12-14 17:14:40,Geopolitical,medium,"(33.0, 66.0)",9,Kandahār,1.0
22712,33.0,66.0,MP5GziDC5hG_Eg7Ry13KCQ,"Afghan First Vice President denies abusing rival, West urges investigation",2016-12-14 17:14:43,Geopolitical,medium,"(33.0, 66.0)",9,Kandahār,1.0
22714,33.0,66.0,uHakzyDC5hG_IA7Ry13KCQ,"Afghan First Vice President denies abusing rival, West urges investigation",2016-12-14 17:14:45,Geopolitical,medium,"(33.0, 66.0)",9,Kandahār,1.0
22726,42.27113,-89.094,gKvzMiHC5hGZLg7Ry13KCQ,Rockford Police investigating shooting at Rural and Prospect,2016-12-14 17:17:32,Physical Threats,moderate,"(42.271129999999999, -89.093999999999994)",4,Chicago,1.0
22729,33.91667,76.66667,QkGyTiHC5hGQdg7Ry13KCQ,Pellets fired to quell protests blind hundreds of Kashmiris,2016-12-14 17:18:19,Other,moderate,"(33.916670000000003, 76.666669999999996)",4,Srinagar,1.0
22739,36.20124,37.16117,ylz+QDrC5hGc4QrRy13KCQ,Aleppo ceasefire 'has failed' as attacks halt evacuations,2016-12-14 20:16:53,Other,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22742,36.85293,-75.97799,bKR97DnC5hGmQwvRy13KCQ,Virginia Beach police investigate shooting Tuesday night,2016-12-14 20:14:31,Physical Threats,moderate,"(36.852930000000001, -75.977990000000005)",4,"Washington, D.C.",1.0
22806,38.88101,-77.10428,LmyTxTnC5hGwbJkCZNc2RA,Increased security screenings planned at Arlington Cemetery,2016-12-14 20:13:26,Crime,moderate,"(38.881009999999996, -77.104280000000003)",4,"Washington, D.C.",1.0
22814,38.852,-77.0425,_scMgijC5hGUAAjRy13KCQ,DC-area airport workers launch strike action,2016-12-14 00:00:00,riskline_7,moderate,"(38.851999999999997, -77.042500000000004)",4,"Washington, D.C.",1.0
22818,52.0,20.0,cAYslCjC5hGhZwjRy13KCQ,Wintry weather conditions cause event cancellations across the Valley,2016-12-14 18:10:22,Other,moderate,"(52.0, 20.0)",4,Łódź,1.0
22823,36.20124,37.16117,KJXdmyjC5hGQNgjRy13KCQ,Battle of Aleppo ends after years of bloodshed with rebel withdrawal,2016-12-14 18:10:35,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
22839,30.06263,31.24967,bt6fqSjC5hGhnAvRy13KCQ,Egypt: Bomb blast near main cathedral in Cairo kills 25,2016-12-14 18:10:58,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9,Cairo,1.0
22841,36.20124,37.16117,OHllrCjC5hG55grRy13KCQ,History of Syrian opposition pullouts,2016-12-14 18:11:02,Geopolitical,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
22854,32.71533,-117.15726,Nm9otSjC5hGX3QnRy13KCQ,Police investigating death of CorePower Yoga founder at San Diego home,2016-12-14 18:11:17,Crime,moderate,"(32.715330000000002, -117.15726000000001)",4,San Diego,1.0
22858,34.5624,38.28402,sjDstyjC5hGp5AnRy13KCQ,Russian researchers to design virtual tour of Palmyra before IS-inflicted damage,2016-12-14 18:11:22,Geopolitical,moderate,"(34.562399999999997, 38.284019999999998)",4,Homs,1.0
22870,40.71427,-74.00597,era+vyjC5hGzgQjRy13KCQ,Military Aircraft Cruising Low Over Manhattan Skies Trigger Confusion,2016-12-14 18:11:35,1481998306,(PHOTOS)</a>,"(40.714269999999999, -74.005969999999991)",4,New York City,1.0
22877,36.20124,37.16117,dLnq_jjC5hG2wwrRy13KCQ,Aleppo: Ceasefire broken as evacuation of civilians delayed,2016-12-14 20:07:53,Other,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
22880,34.5624,38.28402,RBMKwSjC5hG6PQvRy13KCQ,Missile System From Russian Base In Syria Adds To Islamic State's Arsenal,2016-12-14 18:11:37,Geopolitical,moderate,"(34.562399999999997, 38.284019999999998)",4,Homs,1.0
22890,27.668333,68.929444,kDz9+ibC5hG4vpYCZNc2RA,"Roadside bomb explodes near Rohri, Sindh province",2016-12-14 00:00:00,riskline_2,medium,"(27.668333000000001, 68.92944399999999)",9,Sukkur,1.0
22898,36.20124,37.16117,7ldRwijC5hGG8wrRy13KCQ,Russian Federation say Syria army halts Aleppo attacks as rebels cornered,2016-12-14 18:11:39,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
22958,-10.0,-55.0,LmqX1SfC5hGh8AvRy13KCQ,Brazil spending cap sparks angry protests,2016-12-14 18:05:02,Crime,moderate,"(-10.0, -55.0)",4,Cuiabá,1.0
22986,36.20124,37.16117,bAAPMTDC5hGU7wjRy13KCQ,"After Aleppo cease-fire, rebel and civilian pullout delayed",2016-12-14 19:04:51,Other,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
23032,36.20124,37.16117,mDZLRzDC5hG2KgvRy13KCQ,Residents of Syria's Aleppo share tormented goodbyes online,2016-12-14 19:05:29,Other,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
23102,48.860653,2.352411,vIcprzPC5hGDqArRy13KCQ,Hundreds gather for Aleppo solidarity rally in Paris,2016-12-14 00:00:00,riskline_3,moderate,"(48.860653000000006, 2.352411)",4,Paris,1.0
23142,36.20124,37.16117,9ApkEznC5hGSUZgCZNc2RA,"Shelling briefly resumes in Syria's east Aleppo - rebels, witness",2016-12-14 20:08:27,Geopolitical,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
23158,54.75844,-2.69531,fKvNuDjC5hG2WQjRy13KCQ,UK unemployment falls again,2016-12-14 20:05:55,Other,moderate,"(54.75844, -2.6953099999999997)",4,Preston,1.0
23181,36.20124,37.16117,bpF97zjC5hGkkAnRy13KCQ,‘Bombing resumes in rebel part of Aleppo despite ceasefire’,2016-12-14 20:07:27,Other,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
23212,48.85341,2.3488,4j8780DC5hGTgQrRy13KCQ,French parliament votes to extend state of emergency until after 2017 elections,2016-12-14 21:04:49,Geopolitical,low,"(48.853409999999997, 2.3488000000000002)",1,Paris,1.0
23221,39.76,-98.5,eoI8kjnC5hGtQgvRy13KCQ,"Zika virus can keep growing in infant brains for months after birth,  CDC reports",2016-12-14 20:12:00,Public Health,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
23222,10.0,8.0,dDQFmznC5hGASAvRy13KCQ,Government targets NIPOST to aid financial inclusion initiatives,2016-12-14 20:12:15,Infrastructure,moderate,"(10.0, 8.0)",4,Kaduna,1.0
23233,46.0,2.0,9G2h4DnC5hG3lAvRy13KCQ,"France extends state of emergency to July 15, covering next year’s elections",2016-12-14 20:14:11,Other,moderate,"(46.0, 2.0)",4,Lyon,1.0
23237,-33.86785,151.20732,PK_h_TnC5hGn1grRy13KCQ,Abbott warns of 'welfare villages' while praising disability pension crackdown,2016-12-14 20:15:00,Geopolitical,medium,"(-33.867849999999997, 151.20731999999998)",9,Sydney,1.0
23256,-37.8,144.9,1jDx9TnC5hGkhAvRy13KCQ,Footscray's Little Saigon Market destroyed by fire this morning,2016-12-14 20:14:47,Natural Disaster,moderate,"(-37.799999999999997, 144.90000000000001)",4,Melbourne,1.0
23268,46.0,2.0,COObSDrC5hGWKwvRy13KCQ,France moves towards state of emergency till July 2017,2016-12-14 20:17:06,Physical Threats,medium,"(46.0, 2.0)",9,Lyon,1.0
23291,36.20124,37.16117,GkzUTjrC5hGTVwvRy13KCQ,Take steps to de-escalate violence in Syria’s Aleppo: Barack Obama,2016-12-14 20:17:16,Physical Threats,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
23296,36.20124,37.16117,hOcJVTrC5hGCrwvRy13KCQ,"After Aleppo cease-fire, Syrian rebel and civilian pullout delayed",2016-12-14 20:17:27,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
