,title,critical,predicted
1941,Pro-Assad forces fire on convoy leaving east Aleppo - rescue worker,1.0,1
1942,Russian military opposes transfer of Southern Kuril to Japan - experts,0.0,1
1945,India is at digital war: We need cybersecurity commandos to bring down hackers,0.0,1
1946,China installs weapons systems on artificial islands: US think tank,1.0,1
1952,Obama allows Iran sanctions renewal without signing bill,0.0,1
1953,China installs weapons systems on artificial islands - U.S. think tank,1.0,1
1954,France Lashes Russia Over Syria; Aleppo Seeks EU Help,1.0,1
1956,Preparations accomplished for moving out terrorists and their families of neighborhoods in eastern Aleppo towards al-Ramouseh corridor to Aleppo western countryside,1.0,1
1957,First convoy carrying injured leaves rebel-held areas in Aleppo,1.0,1
1958,Turkmenistan president nominated for third term,1.0,0
1959,"Terrorists Leaving Aleppo for Idlib in 20 Buses, 10 Ambulances",1.0,1
1960,Report: China put weapons on disputed islands,1.0,1
1962,"Pro-Assad fighters 'open fire' on convoy preparing to leave rebel-held east Aleppo, after ceasefire resumes",1.0,1
1963,Chinese Ambassador Tells U.S. National Sovereignty Isn't a 'Bargaining Chip',1.0,1
1964,"The Latest: Russia says 1,000 evacuated from Syria's Aleppo",1.0,1
1967,Elisabeth Rehn: Western powers mishandled Syrian crisis,1.0,1
1968,Plan to give Belfast dam plagued by yobs new lease of life,0.0,1
1970,"Resolution of Belarusian-Russian natural gas, oil issues expected within days",1.0,0
1972,Russia to Maintain Rearmament Rates for Strategic Missile Forces – Commander,0.0,1
1973,Aleppo rebel evacuation under way after ceasefire deal,1.0,1
1976,"Al-Manar correspondent: some residents from Kafraya, Foua to be released according to Aleppo deal",1.0,1
1978,"The Latest: Shots fired at ambulances in Aleppo, 3 wounded",1.0,1
1979,Russia Will Respond if NATO Establishes Military Group in Black Sea,0.0,1
1980,​Somalia: Car bomb explosion at busy restaurant in Mogadishu kills two,0.0,1
1981,"Blast kills 6 soldiers, injures 13 in Somalia",0.0,1
1982,At Least 48 Killed and Injured in Terrorists Mortar Attacks in Aleppo,1.0,1
1988,Jesuit residence supported by Maltese charity shelled in Aleppo,1.0,1
1989,First convoy of ambulances take wounded civilians from Aleppo,1.0,1
1990,4 civilians killed in Shia militias' attack in Aleppo,1.0,1
1991,4 civilians killed in Shia militias' attack in Aleppo,1.0,1
1992,China terms Trump’s remarks ‘as threat to peace,1.0,1
1993,Civilians making social media pleas from Aleppo actually bloggers with MSM primetime access (VIDEO),1.0,1
1994,Armed forces shoot at first convoy in Aleppo,1.0,1
1995,Russian military preparing to withdraw remaining militants from Aleppo,1.0,1
1996,Miss World Canada challenges China on organ-harvesting,1.0,1
1998,"EU leaders urge Russia, Syria over Aleppo civilians",1.0,1
1999,"North Korean Leader Kim Jong Un Drunkenly Scolded Military Leaders, Report Says",1.0,0
2000,Suicide attack in Mogadishu injures at least 5,0.0,1
2001,First Civilians Evacuated From East Aleppo,1.0,1
2002,Aleppo: New ceasefire reached to allow rebel evacuation,1.0,1
2003,Syrian forces attack medical convoy attempting to leave Aleppo,1.0,1
2004,Operation to evacuate besieged Aleppo begins,1.0,1
2005,Ministry: Launch of Deterrence Group to Affirm Steadfast Alliance,1.0,0
2007,Syria Wants War Trafficker Countries Punished for Supporting Terrorism,0.0,1
2009,Smokers chased in China as govt mulls national ban on public smoking,1.0,1
2010,Russia's FSB Prevents Series of Terror Attacks in Moscow Planned by Daesh,0.0,1
2011,Hundreds leave besieged east Aleppo on first day of evacuation,1.0,1
2012,Ambulances move toward Aleppo evacuation area: Reuters witness,1.0,1
2013,Suicide attack in Mogadishu injures at least 5,0.0,1
2014,Suicide attack in Mogadishu injures at least 5,0.0,1
2016,US says aid package to Philippines withheld over rights concerns,1.0,0
2017,Evacuation of Militants in Aleppo Resumed: AL-ALAM Reporter,1.0,1
2018,Sweden prepares for war amid Russia tensions,0.0,1
2020,"US army opens storage depot for 1,600 tanks in Limburg",1.0,0
2021,New gun charges filed in Somali bomb plot case in Kansas,1.0,1
2023,Russia's FSB says detains terrorists preparing Moscow attacks,0.0,1
2024,Russia's FSB says detains terrorists preparing Moscow attacks: RIA,0.0,1
2025,"Russia says evacuation of 5,000 rebels from Aleppo has begun - TASS",0.0,1
2026,Canadian officials meet detained Canadian in North Korea,0.0,1
2027,"4,000 Terrorists, Family Members Prepared to Leave Aleppo",1.0,1
2028,Violence and uncertainty stalls vital east Aleppo evacuation process,1.0,1
2029,"East Aleppo evacuation underway after violence, uncertainty, delays",1.0,1
2030,Suicide attack in Somalia kills five,0.0,1
2035,Canadian officials meet detained Canadian in North Korea,0.0,1
2036,Hundreds evacuated from rebel-held area in Aleppo,1.0,1
2037,"Russia says evacuation of 5,000 rebels from Aleppo has begun: TASS",1.0,1
2038,Iran Dismisses Reports on Setting Preconditions for Ceasefire in Aleppo,0.0,1
2041,Canadian officials meet detained Canadian in North Korea,0.0,1
2042,China says weapons in S. China Sea not militarisation,1.0,1
2043,Ghosts of Aleppo,1.0,1
2044,Russia says loss of Iran nuclear deal would be unforgivable: Interfax,0.0,1
2045,"Gunmen in Aleppo, Firing at Ambulances, Stall Latest Evacuation Effort",1.0,1
2047,Who Hides Behind Protests Outside Russian Consulate in Istanbul,0.0,1
2050,RT in Aleppo: Locals deny reports that pro-Assad forces shot at evacuees’ buses,1.0,1
2051,"After a four-year battle, thousands of Syrian civilians are being evacuated from rebel-held Aleppo",1.0,1
2052,The Latest: Red Cross says Aleppo evacuation could take days,1.0,1
2053,"4,000 opposition fighters, family members to quit east Aleppo: state TV",1.0,1
2054,"Evacuation of 5,000 Militants, Families Begins in Eastern Aleppo",1.0,1
2055,Operation to Evacuate 200 Wounded Underway in Eastern Aleppo – Red Cross Syria,0.0,1
2056,Aleppo evacuation set to begin after new ceasefire deal,0.0,1
2058,Reuters: One killed as Aleppo medical convoy comes under fire,1.0,1
2059,Five killed in Somalia suicide attack,0.0,1
2060,Five killed in Somalia suicide attack,0.0,1
2062,Evacuation Of Aleppo Underway As Ceasefire Takes Hold,1.0,1
2064,Russia: Loss of Iranian nuclear deal would be 'unforgivable',0.0,1
2065,Aleppo Evacuation to Dominate Agenda of Russia-Turkey-Iran Talks on Dec.27,1.0,1
2066,First evacuations under way in Aleppo's last rebel-controlled area,1.0,1
2067,Shots fired at ambulance evacuating children from Aleppo,1.0,1
2070,Evacuation of civilians and Syrian opposition fighters in Aleppo set to begin,1.0,1
2072,Evacuation of civilians and Syrian opposition fighters in Aleppo set to begin,1.0,1
2073,Red Cross says Aleppo evacuation of 200 wounded underway,0.0,1
2074,Reports: Eastern Aleppo evacuees begin boarding buses,1.0,1
2075,Timeline of offensive to retake Syria's Aleppo,1.0,1
2078,Report: IoT gives advertisers a new way to target millennial yuppies,1.0,0
2079,Pentagon Says It May Target Weapons Seized By Islamic State In Palmyra,0.0,1
2080,"Police, Kansas school district investigate threat",1.0,1
2081,Fed rate decision pushes market down,1.0,1
2083,"Police, Kansas school district investigates threat",1.0,1
2085,Iran sanctions extension act to become law without Obama's signature - White House,0.0,1
2086,New Gun Charges Filed in Somali Bomb Plot Case in Kansas,1.0,1
2098,Iranian-backed militias kill over 4 civilians in Aleppo,1.0,1
2101,Iran sanctions extension act to become law without Obama's signature: White House,0.0,1
2102,U.S. think-tank: China adds weapons to SCS islands,1.0,1
2103,"Vehicles, ambulances and medical teams sent Kafriya and al-Foaa towns to evacuate humanitarian cases and families",1.0,0
2105,VIDEO: Syrian Red Crescent Waiting to Evacuate Wounded in Aleppo,1.0,1
2108,Aleppo evacuations begin after pro-Syrian government fighters 'open fire' on convoy preparing to leave east,1.0,1
2109,"Over 2,000 Militants From Russia, CIS States Eliminated in Syria in 2016",0.0,1
2111,Chechen Rebel Commander Smoked By Mortar Round,1.0,1
2112,"The Latest: Russia says 1,000 evacuated from Syria's Aleppo",1.0,1
2113,Bashar al-Assad's forces crush the resistance,1.0,1
2115,All measures to evacuate terrorists and their families from eastern part of Aleppo completed,1.0,1
2116,China’s Defense Ministry calls for mutual respect in Sino-ROK military relations,1.0,1
2120,"Russia Says 1,000 Evacuated From Syria’s Aleppo",1.0,1
2121,China defends its right to 'ready slingshot' in South China Sea,1.0,1
2122,China defends its right to 'ready slingshot' in South China Sea,1.0,1
2123,New construction at sea by China raises concern,1.0,1
2126,Syrian mayor appeals to EU leaders for Aleppo monitors,1.0,1
2128,Ongoing efforts to evacuate Aleppo,1.0,1
2129,Evacuation of civilians and Syrian opposition fighters in Aleppo set to begin,1.0,1
2132,Suicide Car Bomb Explodes at Checkpoint in Mogadishu,0.0,1
2133,"Hong Kong hikers risk getting injured by illegal animal traps, SPCA warns",0.0,1
2134,China Appears to Confirm It Has Militarized Disputed Spratly Islands,1.0,1
2135,Turkey is ready to help Aleppo victims: Red Crescent,1.0,1
2136,Iran rejects reports on setting preconditions for ceasefire in Syria's Aleppo,0.0,1
2137,Iran rejects reports on setting preconditions for ceasefire in Syria's Aleppo,0.0,1
2138,Syrian Rebel Group in Aleppo:  ‘Evacuation Will Begin Within the Coming Hours’,1.0,1
2139,4 civilians killed in Shiite militias' attack in Aleppo,1.0,1
2140,"Envoy: IS Palmyra offensive raises issue of possible coordination between terrorists, US",1.0,0
2141,Russia says thwarted IS attacks in Moscow,0.0,1
2143,Syrian girls flee war only to become mothers in Jordan camp,0.0,1
2144,Syria: Efforts to evacuate last rebel-held areas in Aleppo underway,0.0,1
2146,"Aleppo evacuation begins as residents are shuttled out in ambulances, buses",1.0,1
2147,"U.N. envoy says 50,000 still to be evacuated from East Aleppo",1.0,1
2148,"Russia Will Send JPMorgan Hacker Home to US, Sources Say",1.0,1
2149,European Parliament Warns U.K. Could be Heading for 'Hardest Of Brexits',0.0,1
2150,Pro-Assad forces fire on convoy leaving east Aleppo,1.0,1
2151,Emergency Alerts Revamped for Faculty and Staff,1.0,0
2153,China defends its right to 'ready slingshot' in South China Sea,1.0,1
2155,"Ryan Lochte, fiancee announce pregnancy with underwater pics",1.0,1
2156,114 arrested in Polk undercover human trafficking investigation,0.0,1
2157,Aleppo evacuation set to begin after new ceasefire deal,1.0,1
2158,"Syrian Army Units Continue Operations against Al-Nusra Terrorists in Dara'a, Lattakia",0.0,1
2159,American charged in bank hacking turned down Russian asylum: lawyer,1.0,1
2160,Russia thwarts series of IS attacks in Moscow,0.0,1
2161,"Civilians of Aleppo 'Welcome Syrian Soldiers as Heroes' (VIDEO, PHOTOS)",1.0,1
2162,Russia says thwarted IS attacks in Moscow,0.0,1
2163,Turkey joins international anti-Daesh meeting in UK,0.0,1
2164,Turkey joins international anti-Daesh meeting in UK,0.0,1
2165,Turkey joins international anti-Daesh meeting in UK,0.0,1
2168,Germany Deports 50 Rejected Afghan Migrants,0.0,1
2169,Efforts underway to evacuate Aleppo,0.0,1
2170,Reuters: EU pushes for Dutch deal on Ukraine to fend off Russia,0.0,1
2171,"Ambulances, Buses With Militants Leaving Aleppo Accompanied by Russian Officers",1.0,1
2172,Hollande seeks EU summit call for Aleppo ceasefire,1.0,1
2173,Syrian Girls Flee War Only To Become Mothers In Jordan Camp,0.0,1
2174,"China takes action on thousands of websites for 'harmful', obscene content",1.0,0
2177,All Parties to Syrian Conflict Guilty of Blocking Humanitarian Access - Egeland,0.0,1
2179,Aleppo evacuation mission under way after convoy attacked,1.0,1
2180,"President Park, a 'Hikikomori'",1.0,0
2181,"'Avian flu-suspected chickens, eggs in markets'",1.0,1
2184,"China takes action on thousands of websites for ‘harmful’, obscene content",1.0,0
2185,"Iran’s Zarif Discusses Syria, JCPOA with German FM, EU’s Mogherini",1.0,1
2188,Civilian convoy leaves eastern Aleppo for Idlib,1.0,1
2189,Civilian convoy leaves eastern Aleppo for Idlib,1.0,1
2190,Number of people convicted of terror offences up by nearly half,0.0,1
2191,Still No Cause In Oakland Fire That Killed 36,1.0,0
2192,"China arms South China Sea islands, says no boost in militarization",1.0,1
2193,Syria evacuation convoy heads for besieged regime-held villages,1.0,0
2194,"Truce, Evacuation From Syria’s Aleppo Linked to Talks Between Putin, Erdogan",0.0,1
2195,China's navy carries out live-fire exercises from CNS Liaoning carrier,1.0,1
2197,Aleppo children beg to be rescued in heartbreaking video from bombed out Syrian city,1.0,1
2199,Aleppo evacuation mission under way after convoy attacked,1.0,1
2200,"China takes action on thousands of websites for 'harmful', obscene content",1.0,0
2202,eNCA | Two SANDF members killed in Limpopo truck accident,0.0,1
2204,China says weapons in South China Sea not militarisation,1.0,1
2205,China says weapons in South China Sea not militarisation,1.0,1
2206,Federal agency: 'Premature' to determine if Trump in violation of hotel lease,0.0,1
2209,"Aleppo war: Evacuation of rebels, civilians underway as new ceasefire being worked out",1.0,1
2210,France lashes Russia over Syria; Aleppo mayor seeks EU help,1.0,1
2215,Russia says thwarted IS attacks in Moscow,0.0,1
2217,Other terrorists who decided to leave eastern Aleppo will be transferred either to western countryside of the province or to Idlib countryside,1.0,1
2218,"Abe, Putin agree to revive Japan-Russia security talks, discuss Syria",0.0,1
2220,Militants who decided to settle their legal status are going to stay with their families in eastern Aleppo,1.0,1
2221,Russia Pledges Fighting Pause In Idlib During Aleppo Evacuations: UN,1.0,1
2222,India would welcome any reduction in violence: MEA on Aleppo carnage,1.0,1
2223,Pakistani FM visits Turkish embassy for condolences,0.0,1
2224,Russia arrests four suspected of planning ISIS attacks in Moscow,0.0,1
2225,Russia pledges fighting pause in Syria's Idlib during Aleppo evacuations,1.0,1
2227,Protesters disrupt London's Borough Market cheese festival,0.0,1
2228,Lawyer: ISIS member ordered France train attack,0.0,1
2229,Russian Defense Ministry webcasts Aleppo evacuation,1.0,1
2230,Red Cross Warns Evacuation of Aleppo Could Take Days,1.0,1
2231,"URGENT: First Buses, Ambulances Carrying Militants Leave Aleppo",1.0,1
2233,"Almost 1,000 taken out of Aleppo in first evacuation operation",1.0,1
2235,"News in the Humanosphere: Ethnic violence escalating in South Sudan, warns UN",1.0,0
2236,Asia: Aleppo evacuation mission under way after convoy attacked,1.0,1
2237,World: Aleppo evacuation mission under way after convoy attacked,1.0,1
2241,"Evacuation buses, ambulances arrive in Aleppo for wounded civilians",1.0,1
2242,Red Cross says Aleppo evacuation of 200 wounded underway,1.0,1
2244,Limpopo truck accident kills two soldiers,0.0,1
2246,"Almost 3,000 civilians evacuated from east Aleppo",1.0,1
2247,Report: Syria talks suspended as Aleppo evacuation begins,1.0,1
2248,NASA launches 8 mini-satellites for hurricane forecasting,0.0,1
2249,"About 1,500 People Leave Eastern Aleppo With First Convoy - Red Crescent",1.0,1
2250,Syrian official: 951 people left eastern Aleppo in first convoy,1.0,1
2251,Reuters: Suspected Russian mercenary leader attended Kremlin reception,0.0,1
2254,"EU: Israeli demolitions left 1,221 Palestinians homeless",0.0,1
2256,"EU: Israeli demolitions left 1,221 Palestinians homeless",0.0,1
2257,'Tiger' Israel has wary eye on Iran after Syrian rebels lose Aleppo,0.0,1
2262,'Tiger' Israel has wary eye on Iran after Syrian rebels lose Aleppo,0.0,1
2271,"Egypt Likely to See More ISIS Attacks, Needs to Change How it Fights Terror, Analysts Say",0.0,1
2274,Iran Sanctions Continue Even Without Obama’s Signature,0.0,1
2276,Civilian convoy ‘attacked’ as Aleppo evacuation starts,1.0,1
2278,Gulf states rebuke Assad over violence in Aleppo,1.0,1
2279,Genocide now underway in Aleppo: Turkey's EU minister,1.0,1
2280,Genocide now underway in Aleppo: Turkey's EU minister,1.0,1
2288,Intensified Infighting Reported among Terrorists in Idlib amid Aleppo Comrades' Arrival,1.0,1
2289,Aleppo: Evacuations under way after deadly attack,1.0,1
2292,"Russia says 1,000 evacuated from Syria's Aleppo",1.0,1
2298,Trade deficit widens in November to $13 billion,1.0,0
2299,"After Aleppo, the civil war in Syria is not lost",1.0,1
2303,At least 7 dead in Mogadishu bomb attacks,0.0,1
2304,Bomb kills five Somali soldiers in Mogadishu,0.0,1
2308,EU leaders struggle to find unity over Ukraine agreement,0.0,1
2311,Evacuation of Aleppo stalled as snipers fire on ambulance convoy,1.0,1
2315,Evacuation of civilians from Aleppo linked to Erdoğan-Putin talks: Kremlin,1.0,1
2318,Muslim teen lied about being attacked by Trump supporters,0.0,1
2319,Muslim teen lied about being attacked by Trump supporters,0.0,1
2320,Russia conducting operation in Samara linked to Islamic State threat: RIA,0.0,1
2322,"Netherlands and EU ready to find deal on Ukraine issue to fend off Russia, - Reuters",0.0,1
2326,First Evacuation Underway from Last Rebel Part of Aleppo,1.0,1
2327,"Pedestrian Hit By Truck In Southington, Police Said",0.0,1
2329,"President Assad says Aleppo victory, achieved by the sacrifices of the locals, army and allies, is historic",1.0,1
2331,China leaders hear warning shot from Fed,1.0,1
2332,Assad: ‘No Pause’ in Brutal Syrian Military Operations After Aleppo,1.0,1
2334,First east Aleppo evacuees reach rebel-held territory,1.0,1
2335,Lawmaker warns against India becoming US military client,0.0,1
2336,"Convoy of buses, ambulances begins Aleppo evacuation",1.0,1
2341,Huge 980ft bridge demolished in seconds with 240kg of explosives to make way for brand new motorway,1.0,0
2342,Aleppo rebel evacuation under way after ceasefire deal,1.0,1
2343,Aleppo opposition evacuation under way after cease-fire deal,1.0,1
2345,Hundreds leave Aleppo under rebel withdrawal deal,1.0,1
2346,"Over 3,000 militants voluntarily leave Aleppo",1.0,1
2347,Rifts Emerging within Nouriddeen Zinki Ranks on Aleppo Evacuation,1.0,1
2349,NATO-Russia Council to hold meeting on Monday,0.0,1
2350,NATO-Russia Council to meet on Monday: Stoltenberg,0.0,1
2352,Hollande blasts Russia over Aleppo as Fillon calls for more diplomacy,0.0,1
2353,Elderly couple burnt to death on suspicion of witchcraft in Jharkhand,0.0,1
2355,"China Doubles Direct Investment in Southeast Asia, Bypassing US",1.0,1
2366,Pegasus rocket launches from underside of plane,0.0,1
2372,China says weapons in S. China Sea not militarisation,1.0,1
2376,President launches 30 new Navy vessels,1.0,1
2383,Aleppo envoy left gloomy by EU summit,0.0,1
2385,Aleppo official pleads with EU as leaders urge full ceasefire,1.0,1
2387,Smokers chased in Beijing as China considers nationwide ban,1.0,1
2390,EU parliament writes to Ethiopian president over detained Oromo leader,0.0,1
2394,Turkish FM engages in intense diplomacy over Aleppo,1.0,1
2397,Ukraine to Release 15 Prisoners in ‘Goodwill Gesture’ to Pro-Russia Rebels,0.0,1
2398,"'Around 50,000 to be evacuated from Aleppo over 2-3 days'",1.0,1
2399,Car collides with school bus in East Providence,0.0,1
2404,NATO to hold talks with Russia Monday: Stoltenberg,0.0,1
2405,Russian-backed Assad has never been weaker,1.0,1
2407,"Hundreds at Russia, Iran embassies protest over Aleppo",1.0,1
2408,Syrian opposition figure urges more Gulf Arab support after Aleppo,1.0,1
2411,Evacuation of rebel-held east Aleppo under way,1.0,1
2413,Syrian state TV says second evacuation convoy leaves Aleppo,1.0,1
2414,Syrian opposition figure urges more Gulf Arab support after Aleppo,1.0,1
2415,"ICRC expects to evacuate 2,000 from Aleppo on Thursday | Reuters",1.0,1
2419,Aleppo evacuation begins under fire - video,1.0,1
2421,300 terrorists in eastern Aleppo decide to settle their legal status and remain in their towns: Syria State TV,0.0,1
2422,Gulf states rebuke Assad over violence in Aleppo,1.0,1
2423,VIDEO: Syrian Flag Raised in Eastern Aleppo,1.0,1
2425,First convoy reached opposition-held area,1.0,0
2426,'You are the cause' EU’s bizarre attack on Eurosceptic parties over mass Aleppo killings,1.0,1
2427,"Hundreds of civilians, rebels evacuated from Aleppo",1.0,1
2429,UK ‘doesn’t see a future’ for Assad in Syria,0.0,1
2430,ISSG Considers First Stage of Eastern Aleppo Evacuation Successful - Source,1.0,1
2433,UN: Turkey could set up major camps for Aleppo people,1.0,1
2434,UN: Turkey could set up major camps for Aleppo people,1.0,1
2435,"Despite Cutting Arms to Saudi Arabia, US Remains 'Complicit in War Crimes'",1.0,1
2436,Trump rejects Russia hacking plot as Putin direct role reported,1.0,1
2438,Closing arguments in trial of US man accused of   church killings,1.0,0
2439,"‘We need to take action’, Obama says regarding Russian hacking in US presidential election",1.0,1
2442,2nd batch of rebels evacuate Syria's Aleppo,1.0,1
2443,People across the world rally in support of Aleppo,1.0,1
2444,"Turkey's Erdogan says discussed Syria, Iraq with Obama",1.0,1
2447,First Civilians Evacuated from East Aleppo,1.0,1
2451,One inmate dead in Canadian prison riot in Saskatchewan,0.0,1
2452,Russian Defense Ministry: Documenting crimes perpetrated by terrorists against civilians in Aleppo,1.0,1
2454,Aleppo rebel evacuation takes place after ceasefire deal | Reuters,1.0,1
2458,Reuters: Rutte says is unsure if Dutch parliament will ratify Ukraine deal,0.0,1
2462,France lashes Russia over Syria; Aleppo seeks EU help,1.0,1
2463,"Britain summons Russian, Iranian ambassadors over Aleppo",1.0,1
2465,Hundreds leave Aleppo under rebel withdrawal deal,1.0,1
2466,Turkey: 100 000 Aleppo civilians could be evacuated,1.0,1
2467,"Erdogan, Obama discuss latest situation in Aleppo",1.0,1
2468,"Erdogan, Obama discuss latest situation in Aleppo",1.0,1
2470,Syrian President Bashar al-Assad hails taking of Aleppo as &#039;historic&#039;; evacuation of civilians underway,1.0,1
2471,Obama declares major disaster in Tennessee after wildfires,0.0,1
2473,Thousands leave Aleppo under rebel withdrawal deal,1.0,1
2474,Looking to help Syrians in Aleppo? Here are some options.,1.0,1
2476,One inmate dead in Canadian prison riot in Saskatchewan,0.0,1
2478,UN invited to monitor and assist fresh evacuation efforts under way in war–ravaged Aleppo,1.0,1
2486,Gogol’s Ghost: A Letter From a Syrian to the Russian Public About the War On Aleppo,1.0,1
2487,"Erdogan Says 1,150 Evacuated From Rebel-Held Aleppo So Far",1.0,1
2488,Buses evacuate thousands of exhausted Aleppo residents in ceasefire deal,1.0,1
2491,Buses evacuate thousands of exhausted Aleppo residents in ceasefire deal,1.0,1
2494,"Netherlands, EU Reach Deal On Ukraine Association Agreement",0.0,1
2495,Putin supervised Russia cyber attacks in U.S. election - officials,1.0,1
2502,Terrorists burn their headquarters in al-Zubdiyeh neighborhood in Aleppo,1.0,1
2504,Rebels' evacuation from Aleppo to continue during night: state TV,1.0,1
2505,Obama Administration to ‘Cast Wide Net’ in Assessing US Election Hacking,1.0,1
2506,Aleppo conflict 'a disgrace to humanity',1.0,1
2507,"Whipped cream shortage grips U.S. ahead of holidays, Canada topped up",1.0,0
2512,"US Marines to Integrate Armed Weapons Into Osprey, Build New Tiltrotor Craft",1.0,1
2513,Bloodied and demoralized Syrians evacuate Aleppo; smiling Assad hails it as historic,1.0,1
2514,weapons cache for terrorists found in al-Kallasseh neighborhood in Aleppo,1.0,1
2515,"Erdogan: Over 1,100 Civilians Leave Eastern Aleppo on First Day of Evacuation",1.0,1
2517,Library staff chooses city-owned site for central library,0.0,1
2518,First evacuation underway from last rebel part of Aleppo,1.0,1
2520,Putin supervised Russia cyber attacks in U.S. election – officials | Reuters,1.0,1
2522,Putin supervised Russia cyber attacks in US election - officials,1.0,1
2523,"British FM summons Russian, Iranian ambassadors over Aleppo",1.0,1
2524,Combat vets with genital injuries find little help overcoming challenges,1.0,0
2525,President al-Assad speaking about Aleppo,1.0,1
2526,Orphaned Children in Aleppo Plead for Evacuation in New Video,1.0,1
2527,Not going to comment on anonymous intel reports on Putin's involvement in hacking - Kerry,1.0,1
2529,"Red Cross evacuates 3,000 civilians from Aleppo",1.0,1
2531,Army members helping civilians in Aleppo,1.0,1
2532,Kerry Refuses to Confirm 'Anonymous Reports' of Putin-Ordered Hacking,1.0,1
2533,American charged in bank hacking turned down Russian asylum: lawyer,1.0,1
2536,Jurors ask to rehear church shooting suspect's confession to FBI,1.0,0
2538,American charged in bank hacking turned down Russian asylum: lawyer,1.0,1
2539,Iranian commander: Victories in Yemen and Bahrain after Aleppo,1.0,1
2540,U.N. Syria envoy says rebel city Idlib risks Aleppo fate if no peace talks,1.0,1
2541,W'burg mail carrier charged with theft of mail matter,1.0,0
2542,Turkey Silencing Media After Failed July Coup: Rights Group,0.0,1
2545,Soulja Boy Arrested After Cops Find Gun In Home,1.0,0
2546,Dylann Roof guilty of mass shooting at US church,1.0,0
2547,Dylann Roof Found Guilty in Charleston Church Massacre,1.0,0
2548,BREAKING: Jury convicts Dylann Roof in racially motivated slayings of 9 church members,1.0,0
2549,Dylann Roof found guilty in Charleston church massacre,1.0,0
2551,The Cuban baseball smuggling machine behind MLB,1.0,0
2552,U.S. intelligence links Vladimir Putin to election tampering,1.0,1
2555,Dylann Roof convicted of federal hate crimes in Charleston church rampage,0.0,1
2556,Ash Carter reassures allies U.S. won't bail on ISIS fight,1.0,1
2558,US steps up fight to cut Islamic State financing and trade in looted antiquities,1.0,0
2561,Syrian President Bashar Al-Assad Congratulates Nation on Aleppo Liberation + VIDEO,1.0,1
2562,Former Washington policeman indicted for trying to help Islamic State,1.0,1
2563,New Convoy with Evacuees Leaves E. Aleppo - Russian Defense Ministry,1.0,1
2564,Charleston church gunman found guilty of federal hate crimes,0.0,1
2565,Smoke Causes Evacuation at Brown Co. School,0.0,1
2566,South Korean Political Reshuffle Could Derail US Defense Plans,1.0,1
2567,Putin involved in U.S. hacking?,1.0,1
2569,NEW VIDEO: Militants Exit Eastern Aleppo,1.0,1
2570,"EU presses Russia over Syria, Ukraine",0.0,1
2573,Aleppo evacuation under way after ceasefire,1.0,1
2574,"UN invited to monitor, assist evacuation in eastern Aleppo",1.0,1
2576,"China arms reefs in S. China Sea, says report",1.0,1
2578,US not renewing aid package for Philippines,1.0,0
2579,Charleston church gunman found guilty of federal hate crimes| Reuters,0.0,1
2580,US-coalition denies supplying ammunition to Syrian Kurds by helicopter,1.0,1
2582,Fijian found guilty of violating US arms export control act,1.0,0
2584,JP Morgan Cazenove Gives Anglo American Price Target With Potential 13.5% Upside,1.0,1
2587,"Wildrose divided: Fildebrandt breaks with leader, calls for merger with PCs",0.0,1
2588,Anti-Trump Protesters Upset They Haven't Been Assigned Inauguration Day Sites,0.0,1
2589,"In South China Sea Islands, Anti-Aircraft And Radar Systems Emerge In Full Color",1.0,1
2590,"Flash Flood Warning for Chimney Fire burn area, Hearst Castle",0.0,1
2593,"Top US commander in Europe meets with Ukraine troops, officials amid Russia tensions",1.0,1
2594,"US defers Philippine aid decision, criticizes Duterte boasts",1.0,1
2595,S.C. gunman convicted in church attack,0.0,1
2597,Waiting on a Train: A Twin Falls Lament,1.0,0
2598,Prosecutors add charges against two men accused in Garden City bomb plot,1.0,1
2599,Dylann Roof found guilty of hate crimes over Charleston church mass shooting,0.0,1
2600,Dylann Roof found guilty of hate crimes over Charleston church mass shooting,0.0,1
2603,Visa-Free Regime for Ukraine EU's Attempt to Expand Sphere of Influence – Turkey,0.0,1
2605,Dylann Roof found guilty of hate crimes over Charleston church mass shooting,0.0,1
2608,World › Bloodied and demoralized Syrians evacuate Aleppo,1.0,1
2609,Jubilant Assad calls fall of rebels in Aleppo an historic event as hundreds of survivors flee city,1.0,1
2611,"After supporting Syrian army in retaking Aleppo, Iran says ready to send troops to Iraq, Bahrain and Yemen",1.0,1
2613,Aleppo evacuation starts with UN assistance,1.0,1
2618,Gulf states rebuke Assad over violence in Aleppo,1.0,1
2619,"Mass rally in Ankara to protest against Russia, Iran",1.0,1
2620,Aleppo's evacuated civilians face uncertain future in freezing war zones,1.0,1
2622,Army says some misconduct trends are increasing,0.0,1
2624,White supremacist found guilty on all counts in Charleston church massacre| Reuters,0.0,1
2626,UN invited to monitor and assist evacuation efforts under way in Aleppo,1.0,1
2638,Saraakiil Al-Shabaab ah oo la dilay,0.0,1
2646,DON’T POKE THE BEAR: Now EU chiefs EXTEND sanctions against Russia amid Ukraine threat,0.0,1
2663,U.S. election agency breached by hackers after vote| Reuters,1.0,1
2666,Ivanka In East Wing Is Less Unusual Than People Are Making It Out To Be,1.0,0
2667,Battling lethal air: China wants 23 northern cities put on red alert for smog,1.0,0
2669,"Dollar is on fire, is euro headed to parity?",1.0,0
